#,A,Z,Q[MeV],Egamma[MeV],Eelec[MeV],Eneutrino[MeV],tau[s]
76,77,33,0.6831999999999999,0.008135130120737999,0.2254672229,0.4491240298,201463.7062898984
77,78,33,4.209,1.24879302,1.26593048,1.6942765,7851.146412517739
78,79,33,2.281,0.03400660949999999,0.8814797500000001,1.28497699,779.9209391045737
79,80,33,5.545,0.5819225020000002,2.147697,2.7835896,21.92896462151224
80,81,33,3.8556999999999997,0.20708495799999982,1.585696096,2.062918946,48.04174486160248
81,82,33,7.488,1.6083945000000006,2.6638552,3.2157503000000003,27.555475280979206
82,84,33,10.094,2.862900979999999,3.3215684400000005,3.90953058,6.059319171733645
83,81,34,1.588,0.008142366614,0.61071533405,0.966091327,1597.0634102640824
84,83,34,3.673,2.4759046400000004,0.44641327,0.7506820899999999,1930.325964709433
85,84,34,1.835,0.3931499999999998,0.5407390000000001,0.9011110000000001,282.19114999788127
86,85,34,6.162,1.8795882399999995,1.88812956,2.3942822,47.46466684524689
87,86,34,5.129,0.6898152399999997,1.91538,2.52380476,20.63053908471218
88,88,34,6.832,1.0421243144,1.5053633,1.850344,2.207323412560114
89,83,35,0.977,0.007448381787730001,0.32769100288,0.602748196456,12329.848897453438
90,84,35,4.656,1.7594602976704001,1.23542967,1.6601391,2749.199669918008
91,85,35,2.905,0.06600834459589998,1.0577932700000001,1.487357283,251.02893711467965
92,86,35,7.633,3.331625296,1.8821914020000001,2.419183302,79.49249675298189
93,87,35,6.818,3.0229194184999995,1.6644451749999998,2.1306354065,80.32925987669749
94,88,35,8.975,3.082543802,2.4635690550000002,2.981959815,23.57363696812567
95,92,35,12.537,1.0783503600000008,5.36156741,6.09708223,0.45300624283913454
96,93,35,11.25,0.309167164,1.22097,1.3885864049999999,0.14715489417067426
97,85,36,0.687,0.0012641756637890578,0.250697353282941,0.43503847105327,488914674.3226713
98,87,36,3.888269999999999,0.7731535800999991,1.3308739882,1.7842424316999999,6604.657897189674
99,88,36,2.9177,1.9426706493,0.3653395337,0.609689817,14672.208565840758
100,89,36,5.177,1.7087947249999993,1.496207134,1.9719981410000003,272.6693627280141
101,90,36,4.406,1.1613773569999997,1.382487297,1.862135346,46.62790372153131
102,91,36,6.771,1.6062689100000003,2.3078746999999997,2.8568563899999995,12.363896500418416
103,92,36,6.003,1.4146376768,2.0002987599999997,2.51674149,2.6545588752356934
104,93,36,8.484,2.25441006,2.82905469,3.4005352500000003,1.8553058225832066
105,94,36,7.215,0.0,1.97449,2.38,0.30585134866846025
106,88,37,5.312620000000001,0.6756247193400005,2.05137634006,2.5856189406000003,1538.4611377031736
107,89,37,4.497,2.073633355,0.9994383280000001,1.4239283169999999,1326.1252815851353
108,90,37,6.585,1.969035877,2.0491858,2.566778323,227.94581646045623
109,91,37,5.907,2.25706232,1.5831501199999998,2.06678756,83.96485137973768
110,92,37,8.095,0.17652280400000198,3.6393573679999998,4.279119827999999,6.463273783182558
111,93,37,7.466,1.8120518829999996,2.521677352,3.1322707650000003,8.425339038791543
112,94,37,10.282900000000001,1.9633599238000001,2.0190925299999996,2.3922656069999997,3.898162000481979
113,95,37,9.227,2.2981801959,2.3229781700000003,2.80104212,0.5449059169437617
114,96,37,11.564,2.0530402449000005,3.9334078839999997,4.55137647,0.2928670933004596
